ID вопроса,Вопрос,Референсный ответ,Релевантные документы,Контекст (превью)
12,Почему иностранные депозитарные расписки и многие ETF могут быть заблокированы и кому они доступны?,"На основе предоставленного контекста:

Иностранные депозитарные расписки и многие ETF могут быть заблокированы из-за **санкций**. Санкции приводят к тому, что:
1.  Иностранные депозитарии отказываются проводить операции с расписками.
2.  Брокеры и депозитарии, попавшие под санкции, не могут проводить сделки с иностранными бумагами, и активы клиентов оказываются заморожены.
3.  ETF, включающие активы из недружественных стран, также подвержены высокому риску блокировки.

Доступность:
*   **ETF, которые могут быть заблокированы** (например, включающие активы из недружественных стран), доступны **только квалифицированным инвесторам**.
*   **Неквалифицированные инвесторы** могут свободно покупать паи российских БПИФов, а также ETF, которые торгуются на российских биржах и созданы компаниями из дружественных стран (но таких фондов пока нет).","doc_235,doc_265,doc_108","Фрагмент (score: 0.90):
только нескольким компаниям, и части из них — лишь на время.

Когда компании запустили процедуру обмена ценных бумаг, то снова столкнулись с проблемой: многие иностранные депозитарии отказались ее проводить. Для таких случаев российские власти разработали специальные механизмы: **автоматическую** и **принудительную** конвертацию расписок в акции.

## Что делать инвесторам?

Если под блокировку попали расписки **на ценные бумаги иностранных компаний**, вам остается т"
13,Какие приемы помогут сократить импульсные покупки?,"Согласно контексту, сократить импульсные покупки помогут следующие приемы:

1. **Использовать опцию «отложить»** — взять товар, но не покупать сразу, а уйти на несколько часов или день, чтобы понять, действительно ли он нужен.
2. **Составлять списки покупок** — это помогает покупать только необходимое и не набирать лишнего.
3. **Внимательно читать ценники** — чтобы не вводить себя в заблуждение относительно реальной стоимости.
4. **Трезво оценивать маркетинговые акции** — понимать, что акции часто стимулируют купить ненужное.
5. **Не набирать лишнего в магазине** — класть в корзину только заранее запланированные товары.
6. **Обдумывать покупку несколько дней** перед тем, как внести ее в план.
7. **Строго придерживаться финансового плана и лимитов по статьям расходов**, избегая соблазна сделать незапланированную покупку.","doc_022,doc_136,doc_068","Фрагмент (score: 0.88):
тролировать себя, то можно защититься от таких расходов.

**— Используйте опцию «отложить».** Выбрать в магазине, потрогать, примерить и отправиться домой или на работу на несколько часов или день. Через какое-то время станет понятно, нужна такая покупка на самом деле или нет.

**— Составляйте списки.** Это помогает покупать столько, сколько нужно, и, например, не выкидывать потом испортившиеся продукты.

Также экономить можно каждый день по мелочам — допустим, не п"
14,Чем отличаются госгарантии по деньгам на эскроу от гарантий по накоплениям в НПФ?,"Согласно контексту, госгарантии по деньгам на эскроу и по накоплениям в НПФ отличаются **размером страховой суммы** и, возможно, **механизмом выплаты**.

**По накоплениям в НПФ:**
*   Гарантированная государством сумма составляет **до 2,8 млн рублей** на один фонд. Эта сумма включает взносы и инвестиционный доход.
*   Выплату осуществляет Агентство по страхованию вкладов (АСВ) в течение **30 рабочих дней** после получения заявления.

**По деньгам на эскроу:**
*   Гарантированная государством сумма составляет **до 10 млн рублей**.
*   В случае отзыва лицензии у банка, АСВ переводит эту сумму на новый счет эскроу в другом банке.

Таким образом, ключевые отличия — это **лимит страхового покрытия** (2,8 млн для НПФ против 10 млн для эскроу) и **способ выплаты** (перевод на счет клиента или в другой НПФ для пенсионных накоплений против перевода на новый счет эскроу для средств дольщика).","doc_182,doc_227,doc_232","Фрагмент (score: 0.87):
енты НПФ должны обратиться за возмещением в АСВ в течение **пяти месяцев** со дня публикации на сайте агентства информации об отзыве лицензии или начале банкротства фонда.

Пропустите этот срок без уважительной причины – агентство может отказать вам в выплате. Тогда отстаивать свое право на гарантийное возмещение придется через суд.

После того как подадите в АСВ заявление на компенсацию и все необходимые документы, вы сможете запросить там выписку о сумме накоплений "
15,Как распознать мошенников при возврате денег за отмененный рейс?,"В контексте нет информации о том, как именно распознать мошенников при возврате денег за отмененный рейс. Предоставленные фрагменты рассказывают об общих схемах псевдоюристов и о правилах возврата денег у авиакомпаний, но не дают конкретных признаков мошенничества именно в этой ситуации.","doc_138,doc_217","Фрагмент (score: 0.89):
ю, который отменили из-за эпидемии коронавируса. А я как раз узнал, что мой рейс отменили и хотел заняться вопросом возврата денег...»

Будьте бдительны, не наступайте на чужие грабли!

**Вы сами отказались от полета**

Если тариф вашего билета предусматривает полный возврат денег, то все просто: нужно лишь в определенные сроки сдать билет на сайте или по телефону горячей линии авиакомпании или посредника. Деньги вернутся на вашу банковскую карту в течение нескольки"
16,Какие документы подойдут для подтверждения дохода при заявке на кредит?,"Согласно контексту, для подтверждения дохода при заявке на кредит подойдут следующие документы:

*   Справка об официальном доходе с работы или с портала Госуслуги.
*   Выписки с банковских и брокерских счетов.
*   Свидетельства о праве собственности на имущество (квартиру, машину и другие активы).
*   Договоры подряда (ГПХ) для внештатных работников.
*   Договор аренды с указанием ежемесячной платы (при сдаче квартиры).
*   Кредитная история (с согласия заемщика), по которой можно увидеть выплаты по прежним кредитам.
*   Данные из цифрового профиля на Госуслугах (с согласия заемщика).
*   Для индивидуальных предпринимателей: книга учета доходов и расходов, налоговые декларации, квитанции об уплате налогов.
*   Для пенсионеров: данные о пенсии.

Контекст также отмечает, что полный список документов лучше уточнять на сайте конкретного банка или МФО.","doc_056,doc_055,doc_252","Фрагмент (score: 0.91):
н сможет повлиять на его решение.

## Я не знаю, какие документы нужно собрать, чтобы точно получить кредит. Может ли брокер подготовить бумаги за меня?

Да, может. Но собрать эти документы самостоятельно совсем нетрудно. Как правило, на сайте каждого банка и МФО указан список бумаг, которые нужно приложить к заявлению на кредит. В том числе написано, какие документы послужат подтверждением вашего реального дохода.

Например, справку об официальном доходе легко зака"
17,Зачем частному клиенту следить за рейтингом страховщика на фоне возможной приостановки лицензии?,"В контексте нет информации о рейтингах страховщиков и о том, зачем за ними следить частному клиенту. В предоставленных фрагментах объясняются причины и последствия ограничения, приостановки или отзыва лицензии, но не упоминаются рейтинги как инструмент для оценки надежности компании.","doc_300,doc_137","Фрагмент (score: 0.88):
Вы узнали, что у вашего страховщика ограничили, приостановили или отозвали лицензию. Почему это произошло и что теперь делать? ## За что приостанавливают и отзывают лицензию?

Это случается, если страховая компания нарушает требования закона. Например, берет деньги за полисы, но не формирует достаточно резервов, чтобы расплачиваться с пострадавшими, если наступит страховой случай. Или вкладывает эти страховые резервы в слишком рискованные проекты, и высока вероятность, "
18,Чем для вкладчика отличается санация от отзыва лицензии?,"Согласно контексту, для вкладчика отличие санации от отзыва лицензии заключается в следующем:

1. **При санации** банк продолжает работать, и это ""однозначно хорошо"" для вкладчиков. Все условия по вкладам остаются прежними, клиенты могут не беспокоиться за свои деньги и, скорее всего, даже не заметят процедуры финансового оздоровления.

2. **При отзыве лицензии** банк прекращает деятельность. В этом случае вкладчикам выплачивается страховое возмещение через Агентство по страхованию вкладов (АСВ):
    * Основная сумма возмещения — до 1,4 млн рублей.
    * В некоторых случаях (например, для счетов эскроу или недавно поступивших крупных сумм от продажи недвижимости или наследства) — повышенное возмещение в пределах 10 млн рублей.

Таким образом, ключевое отличие: при санации банк и вклады сохраняются в полном объеме, а при отзыве лицензии вкладчик получает страховую выплату в установленных законом пределах.","doc_058,doc_286","Фрагмент (score: 0.90):
инальной моделью ведения бизнеса уже не осталось.
3. Санация экономически оправдана  
     
   Санация — процесс дорогой, поэтому, прежде чем ее начинать, Банк России всегда тщательно оценивает возможные затраты.  
     
   В случае отзыва у банка лицензии государство в лице Агентства по страхованию вкладов (АСВ) компенсирует гражданам, индивидуальным предпринимателям, малому бизнесу и многим некоммерческим организациям их вклады и деньги на счетах до 1,4 млн рублей."
19,Какие лимиты действуют на выплаты клиентам МФО по сравнению с гарантиями для клиентов НПФ?,В контексте нет информации.,"doc_336,doc_182,doc_067","Фрагмент (score: 0.87):
ФК) лимиты выше — до 1 млн рублей.

Если вовремя не вернуть деньги, придется платить неустойку. Ее размер всегда указан в таблице на первых страницах договора. Там же прописывается стоимость дополнительных услуг, например страховки. Если упустить их из внимания, долг может оказаться намного больше запланированного. От каких дополнений вы вправе отказаться, читайте в тексте «Какие услуги навязывают МФО».

Подробнее об особенностях ссуд в микрофинансовых организациях вы"
20,Какие банковские инструменты подходят для безопасных расчетов и для возврата денег при споре?,"В контексте нет информации о конкретных банковских инструментах, подходящих для безопасных расчетов. Что касается возврата денег при споре, в контексте упоминается, что при несанкционированном списании с карты можно потребовать возврата денег у банка, если клиент вовремя подал заявление и соблюдал правила безопасности.","doc_172,doc_065,doc_241","Фрагмент (score: 0.87):
нта, как получили уведомление о подозрительной операции по карте. Если банк по каким-то причинам вообще не прислал сообщение о транзакции и вы сами случайно обнаружили незаконное списание, то вправе потребовать вернуть деньги и позже — в любое время, хоть через год после операции.
2. Вы соблюдали правила безопасности при использовании карты. В частности, не писали ПИН-код прямо на карте или не хранили его вместе с картой, никому давали ее фотографировать и сами не выклад"
21,Как безопасно настроить автоплатеж?,"Согласно контексту, безопасно настроить автоплатеж можно, следуя этим рекомендациям:

1.  **Используйте для автоплатежей отдельную дебетовую или предоплаченную карту, или отдельный счет.** На эту карту или счет следует класть только сумму, необходимую для ежемесячных оплат. Не рекомендуется использовать для автоперечислений кредитную карту или карту с овердрафтом.
2.  **Вводите реквизиты банковской карты только на проверенных сайтах**, остерегаясь фишинговых страниц.
3.  **Не используйте одинаковые пароли** для личных кабинетов на сайтах различных организаций.
4.  **Подключите СМС или push-уведомления** по всем банковским картам, чтобы оперативно узнавать о всех платежах.","doc_299,doc_295","Фрагмент (score: 0.92):
С помощью автоплатежей удобно рассчитываться за услуги, которыми вы пользуетесь регулярно: мобильную связь, интернет, коммунальные услуги. Можно настроить автооплату налогов и штрафов ГИБДД, а также автоперевод платежей по кредитам. Как правило, автоматические списания с банковского счета проходят без сбоев, но бывают и исключения. Рассказываем, что делать в случае ошибки и как избежать накладок с автосписаниями. ## Как работает автоплатеж?

Для начала разберемся, как у"
22,Как мошенники крадут реквизиты при оплате онлайн?,"Согласно контексту, мошенники крадут реквизиты при оплате онлайн, создавая поддельные (фишинговые) страницы, которые маскируют под легитимные сайты: служб доставки, платежные страницы сервисов объявлений или системы денежных переводов. Жертва, вводя на такой странице полные реквизиты карты, включая секретный код (CVC/CVV), передает их злоумышленникам.","doc_117,doc_048,doc_213","Фрагмент (score: 0.89):
Киберпреступники постоянно охотятся на чужие личные данные. Атакуют телефоны, планшеты и компьютеры с помощью вредоносных программ, выманивают секретную информацию у банковских клиентов уловкамисоциальной инженерии. Рассказываем, как защитить свою конфиденциальность и дать отпор злоумышленникам. ## Какие данные нужны мошенникам?

Ключом к деньгам на вашем счете могут стать реквизиты карты, включая срок действия, три цифры с оборота, а также пароли и коды из уведомлений "
23,"Чем отличаются ОСАГО, каско, ДСАГО по выплатам?","На основе контекста можно выделить следующие отличия по выплатам:

1. **ОСАГО** — это обязательное страхование. Если вы виновник ДТП, страховая компания выплачивает пострадавшим за ущерб их имуществу и здоровью, но **не оплачивает ремонт вашего автомобиля**. Выплаты по ОСАГО имеют лимиты, установленные законом.

2. **ДСАГО** — это добровольное страхование, которое **дополняет ОСАГО**. Оно начинает действовать, когда выплат по ОСАГО недостаточно для покрытия ущерба пострадавшим. Сумму покрытия по ДСАГО (до 30 млн рублей) выбирает сам владелец полиса. Таким образом, ДСАГО защищает виновника от больших личных расходов при серьезных авариях.

3. **Каско** — упоминается в контексте кратко. В отличие от ОСАГО, полис каско **покрывает расходы на ремонт вашего собственного автомобиля** (в том числе при вашей вине в ДТП). Его можно оформить одновременно с ОСАГО.

**Итог:**
*   **ОСАГО** — выплаты **пострадавшим** (за их имущество и здоровье), лимитированы.
*   **ДСАГО** — дополнительные выплаты **пострадавшим**, если не хватило ОСАГО (сумму можно выбрать).
*   **Каско** — выплаты **владельцу полиса** на ремонт своего автомобиля.","doc_010,doc_119","Фрагмент (score: 0.91):
Даже самый опытный и аккуратный водитель иногда становится виновником ДТП. Если авария серьезная, а поврежденная машина дорогая, выплаты по ОСАГО не покрывают нанесенный ущерб полностью, и виновник аварии должен возместить разницу самостоятельно. В таких случаях помогает полис ДСАГО. Рассказываем, что такое ДСАГО и как его оформить. ДСАГО — это добровольное страхование автогражданской ответственности. Если владелец полиса ДСАГО повредит чужой автомобиль даже на очень боль"
